latitude,longitude
-3.4876035e-09,-2.0594881e-09
-1.6596749e-08,-1.0557941e-08
-0.014224181,-0.0039399695
-0.031942304,0.009676595
-0.014848019,-0.0033644082
0.04097697,0.024126811
-0.01540562,-0.0007432794
0.035122428,0.037228044
-0.01693642,0.005890416
0.009716166,-0.032705955
-0.0149480365,0.0063157924
-0.022664204,0.012712981
0.04069962,0.02608906
-0.015751174,-0.0037255068
0.03447484,0.006566097
0.041471694,0.05134065
-0.015795447,0.0051976414
0.0345725,0.0072883624
-0.0030542195,-0.02270677
-0.015024471,-0.003148862
-0.015583064,0.0009299598
0.041947972,0.01951468
0.05329378,0.06816913
0.034728575,0.0070258663
8.562602e-05,-0.029944938
0.01812548,-0.040065426
0.002148203,-0.024751697
0.03807323,-0.029748883
-0.03221204,0.0098299505
0.04280882,-0.013550128
0.03456041,0.0066699754
0.006801621,-0.029677935
0.04748204,0.06034579
0.031218031,0.0344505
-0.010904389,0.012122751
0.042482328,0.00048076466
0.01637462,-0.045023553
-0.03008602,0.00847416
-0.015619652,-0.0030154248
-1.5695612e-08,-8.916029e-09
0.016777998,-0.04024705
-0.01498546,-0.0019517133
-0.03203038,0.00972477
-0.0147206085,0.0067897444
0.041108843,0.024989573
0.034169193,0.006418297
-0.014920002,0.006286956
0.04155451,0.02642177
-0.021131918,0.011179562
0.03455583,0.0072646113
-0.013695321,0.0068747085
0.01106064,-0.034278166
0.042008054,0.018563053
-0.015210004,-0.001136477
0.01687835,-0.042011444
0.009468771,-0.03244248
-0.0033020382,-0.021750914
0.013089178,-0.05460627
-0.017970717,0.0050231405
-0.032029003,0.00972398
-0.021907687,0.011933123
0.011194838,-0.034709588
-0.0005683136,0.017319102
-0.021113062,0.010473532
0.034669816,0.0068404935
-0.032212578,0.009830246
0.041124914,0.023613343
0.04194766,0.015274852
-0.014057332,-0.004208127
0.041985724,0.016783856
-0.018260935,0.005172426
0.04285094,-0.0121486895
-0.014869624,-0.0024669748
-0.015982151,0.0026164618
0.040819325,0.027052406
0.05304634,0.06766461
0.011151429,-0.03453413
3.4088522e-08,2.3268115e-08
-0.030075455,0.008466727
0.034650158,0.0072636106
0.03552892,0.011306093
0.03921688,0.047604214
0.0028965923,-0.02558739
0.04067931,0.027071029
0.010623464,-0.032857273
0.044755943,0.05646019
-0.0021151477,0.016684862
-0.03189183,0.009647734
-0.019371832,0.0071331896
-0.021482652,0.011310182
0.013381098,-0.05441141
-0.022677539,0.01272657
2.9655459e-08,1.9250919e-08
